,video_id,video_title,upload_date,view_count,like_count,comment_count,categories,year
0,AjRXlSwk-E0,iddaa.com | Salernitana - Torino (0-1) - Maç Özeti - Serie A 2021/22,2022-04-02,2034,71,7,Serie A,2022
1,F9xbW-yWtu8,iddaa.com | Brighton - Norwich (0-0) - Maç Özeti - Premier League 2021/22,2022-04-02,3021,97,8,Premier League,2022
2,leUGYEfLUBY,iddaa.com | Wolves - Aston Villa (2-1) - Maç Özeti - Premier League 2021/22,2022-04-02,24705,489,31,Premier League,2022
3,R2f6vHRvOJ0,Andrea Belotti İle Torino 1-0 Öne Geçti! #SerieA,2022-04-02,2497,60,5,Serie A,2022
4,SKZ8pxV-KGw,iddaa.com | Manchester United - Leicester City (1-1) - Maç Özeti - Premier League 2021/22,2022-04-02,186284,3546,279,Premier League,2022
5,dBzterJAn3Q,iddaa.com | Lazio - Sassuolo (2-1) - Maç Özeti - Serie A 2021/22,2022-04-02,13085,263,30,Serie A,2022
6,klnWbxooZf4,"Lazio, Sergej Milinkovic-Savic ile farkı ikiye çıkarıyor!  #SerieA",2022-04-02,2394,65,2,Serie A,2022
7,hnjxHPWLUi0,Manchester United&#39;ın Beraberlik Golü! #PremierLeague,2022-04-02,40510,780,60,Premier League,2022
8,UAB5Ts9xvhI,"Sassuolo, Hamed Traore ile farkı bire indiriyor!   #SerieA",2022-04-02,1624,43,4,Serie A,2022
9,owvsedh1gg0,Leicester City&#39;nin Golü! #PremierLeague,2022-04-02,9786,343,35,Premier League,2022
10,NZB2pAaTM38,iddaa.com | Chelsea - Brentford (1-4) - Maç Özeti - Premier League 2021/22,2022-04-02,238515,5550,288,Premier League,2022
11,JOTlrCzrfBs,iddaa.com | Leeds United - Southampton (1-1) - Maç Özeti - Premier League 2021/22,2022-04-02,20642,451,27,Premier League,2022
12,PubiVDAPy6A,"Manuel Lazzari, Lazio&#39;yu Sassuolo karşısında öne geçiriyor! #SerieA",2022-04-02,2843,92,13,Serie A,2022
